"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 18 18:36:09 GMT 2022","Mon Jul 18 18:36:12 GMT 2022","3299","chromium","failing-test.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
"passed","Mon Jul 18 18:36:01 GMT 2022","Mon Jul 18 18:36:02 GMT 2022","687","chromium","example.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Mon Jul 18 18:35:59 GMT 2022","Mon Jul 18 18:36:00 GMT 2022","684","chromium","example.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Mon Jul 18 18:36:36 GMT 2022","Mon Jul 18 18:36:37 GMT 2022","820","firefox","example.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Mon Jul 18 18:36:05 GMT 2022","Mon Jul 18 18:36:06 GMT 2022","618","chromium","example.spec.ts","Routing","","","should allow me to display active items",""
"passed","Mon Jul 18 18:36:00 GMT 2022","Mon Jul 18 18:36:01 GMT 2022","691","chromium","example.spec.ts","Editing","","","should trim entered text",""
"passed","Mon Jul 18 18:36:04 GMT 2022","Mon Jul 18 18:36:05 GMT 2022","643","chromium","example.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Mon Jul 18 18:35:58 GMT 2022","Mon Jul 18 18:35:59 GMT 2022","651","chromium","example.spec.ts","Item","","","should allow me to edit an item",""
"passed","Mon Jul 18 18:36:23 GMT 2022","Mon Jul 18 18:36:24 GMT 2022","997","firefox","example.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Mon Jul 18 18:36:38 GMT 2022","Mon Jul 18 18:36:39 GMT 2022","1096","firefox","example.spec.ts","Persistence","","","should persist its data",""
"passed","Mon Jul 18 18:36:44 GMT 2022","Mon Jul 18 18:36:45 GMT 2022","1058","firefox","example.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Mon Jul 18 18:36:24 GMT 2022","Mon Jul 18 18:36:24 GMT 2022","688","firefox","example.spec.ts","New Todo","","","should show #main and #footer when items added",""
